name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Net Adept,Combat,You have trained to use the net as a melee weapon.,"Exotic Weapon Proficiency (net), base attack bonus +1.",Exotic Weapon Proficiency (net),"You can treat a net as a one-handed melee reach weapon with a 10-foot reach. Further, you take no penalty on melee attack rolls for using an unfolded net, and you can use one full-round action or two move actions to fold a net.",A net is a ranged weapon that imposes a -4 penalty on ranged attack rolls if it is unfolded. Folding a net takes a proficient user 2 rounds.,,Ultimate Combat
Net and Trident,Combat,Your skill with lighter weapons allows you to wield one alongside your net.,"Dex 15, Exotic Weapon Proficiency (net), Net Adept, Two-Weapon Fighting.","Exotic Weapon Proficiency (net), Net Adept, Two-Weapon Fighting","You can treat a net as a one-handed ranged weapon, allowing you to wield a light or one-handed melee weapon and still make ranged attacks with your net. When you use your light or one-handed melee weapon to attack an entangled opponent, you gain a +2 bonus on damage rolls and on attack rolls to confirm a critical hit.",A net is a two-handed ranged weapon.,,Ultimate Combat
Net Maneuvering,Combat,"With sweeping movements and brute force, you can use your net to put foes at a disadvantage.","Exotic Weapon Proficiency (net), Net Adept, base attack bonus +3.","Exotic Weapon Proficiency (net), Net Adept","In melee, you can use a net to trip or disarm opponents instead of entangling them. You gain a +2 bonus on disarm checks made to use a net in this way. Further, if you have an opponent entangled in your net, you can attempt to drag or reposition that opponent as long as he is within your net's reach or you control the trailing rope on your net.",,,Ultimate Combat
Net Trickery,Combat,You have become very proficient at using your net to hinder your enemies.,"Exotic Weapon Proficiency (net), Net Adept, Net Maneuvering, base attack bonus +6.","Exotic Weapon Proficiency (net), Net Adept, Net Maneuvering","In place of one of your melee attacks, you can use your net to attempt a dirty trick combat maneuver to blind an opponent (Advance Player's Guide 320). If you have an opponent entangled in your net, you can attempt to trip that opponent as long as he is within your net's reach or you control the trailing rope on your net. You also gain a +2 bonus on drag and reposition combat maneuver checks you make using your net.",,,Ultimate Combat
Nightmare Fist,Combat,You are even more deadly in magical darkness.,"Improved Unarmed Strike, Intimidate 1 rank, ability to create magical darkness.",Improved Unarmed Strike,"While fighting within an area of magical darkness, you gain a +2 bonus on damage rolls with unarmed strikes, or a +4 bonus against opponents that are shaken, frightened, or panicked. You also gain a +2 morale bonus on Acrobatics and Intimidate checks.",,,Ultimate Combat
Nightmare Striker,Combat,"Your faerie fire not only illuminates your foes, but it also shows you their weaknesses.","Improved Unarmed Strike, Nightmare Fist, Nightmare Weaver, Stunning Fist, Heal 5 ranks, ability to cast faerie fire.","Improved Unarmed Strike, Nightmare Fist, Nightmare Weaver, Stunning Fist","While a faerie fire you have cast (not one cast from a spell completion or spell trigger item) outlines an opponent, the DC for that opponent to resist your Stunning Fist attempts increases by +2. If you hit an opponent with a Stunning Fist attempt, and that opponent fails her saving throw, you can render the target shaken for 1d2 rounds plus 1 round for every 5 by which the opponent failed her save.",,,Ultimate Combat
Nightmare Weaver,Combat,You can use your ability to create magical darkness to terrorize enemies.,"Improved Unarmed Strike, Nightmare Fist, Intimidate 2 ranks, ability to cast darkness.","Improved Unarmed Strike, Nightmare Fist","By spending a full-round action to cast darkness, you can also make Intimidate checks to demoralize all foes in the spell's initial area.",,This feat counts as Dazzling Display for purposes of qualifying for Deadly Stroke and Shatter Defenses.,Ultimate Combat
No Name,General,You don't need an elaborate disguise to keep your identity under wraps.,"Grit class feature or Amateur Gunslinger feat, Bluff 4 ranks.",,"You often rely on surprise and misdirection in your social dealings. You gain a +2 bonus on Bluff checks, and you can spend 1 grit point to gain a +10 bonus on Disguise checks for 10 minutes per your gunslinger level (minimum 10 minutes). This deed does not actually change your appearance, but rather allows you to hide your identity in other ways.",,,Ultimate Combat
Opening Volley,Combat,Your ranged assault leaves your foe disoriented and vulnerable to your melee attack.,,,"Whenever you deal damage with a ranged attack, you gain a +4 circumstance bonus on the next melee attack roll you make against the opponent. This attack must occur before the end of your next turn.",,,Ultimate Combat
Pack Attack,Combat,You are skilled at surrounding your enemies.,Base attack bonus +1.,,"When you are adjacent to an ally with this feat, the first time you melee attack an opponent, you can spend an immediate action to take a 5-foot step, even if you have otherwise moved this round.",You can take a 5-foot step only if you have not otherwise moved in a round.,,Ultimate Combat
Panther Claw,Combat,You unleash a rapid series of blows on foes that attempt to attack you when you move.,"Wis 15, Combat Reflexes, Improved Unarmed Strike, Panther Style.","Combat Reflexes, Improved Unarmed Strike, Panther Style","While using Panther Style, you can spend a free action, instead of spending a swift action, to make a retaliatory unarmed strike. You can make a number of retaliatory unarmed strikes on your turn equal to your Wisdom modifier.",,,Ultimate Combat
Panther Parry,Combat,Your vicious strikes impair your foe's ability to attack you when you move.,"Wis 15, Combat Reflexes, Improved Unarmed Strike, Panther Claw, Panther Style.","Combat Reflexes, Improved Unarmed Strike, Panther Claw, Panther Style","While using Panther Style, your retaliatory unarmed strikes are resolved before the triggering attacks. If your retaliatory unarmed strike deals damage to an opponent, that opponent takes a -2 penalty on attack and damage rolls with the triggering attack of opportunity.",,,Ultimate Combat
Panther Style,Combat,You can strike back at enemies who attack you when you move.,"Wis 13, Combat Reflexes, Improved Unarmed Strike.","Combat Reflexes, Improved Unarmed Strike","While using this style, when an opponent makes an attack of opportunity against you for moving through a threatened square, you can spend a swift action to make a retaliatory unarmed strike attack against that opponent. Your attack is resolved after the triggering attack of opportunity.",,,Ultimate Combat
Passing Trick,Combat,Slipping past a foe gives you the chance to feint.,"Int 13, Combat Expertise, Dodge, Improved Feint, Mobility, size Small or smaller.","Combat Expertise, Dodge, Improved Feint, Mobility","Whenever you make a successful Acrobatics check to move through an opponent's space, you can spend a swift action to make a Bluff check against that opponent to feint in combat.",,"If you have the Underfoot feat and the opponent is larger than you, you gain a +2 bonus on the Bluff check this feat allows.",Ultimate Combat
Performance Weapon Mastery,Combat,You wield all your weapons with the flair of a performer.,,,You treat all weapons you are proficient in as if they had the performance weapon quality (page 144).,,,Ultimate Combat
